,participant,task,trial,choice,reward,state,next_state,tier
0,0,0,0,4,0,10,10,0.0
1,0,0,1,3,0,10,7,0.0
2,0,0,2,2,0,7,2,0.0
3,0,0,3,1,0,2,8,0.0
4,0,0,4,3,0,8,2,0.0
5,0,0,5,1,0,2,8,0.0
6,0,0,6,2,0,8,7,0.0
7,0,0,7,2,0,7,2,0.0
8,0,0,8,1,0,2,8,0.0
9,0,0,9,1,0,8,3,0.0
10,0,0,10,1,0,3,7,0.0
11,0,0,11,2,0,7,2,0.0
12,0,0,12,1,0,2,8,0.0
13,0,0,13,1,0,8,3,0.0
14,0,0,14,4,0,3,8,0.0
15,0,0,15,1,0,8,3,0.0
16,0,0,16,2,0,3,3,0.0
17,0,0,17,3,0,3,2,0.0
18,0,0,18,1,0,2,8,0.0
19,0,0,19,1,0,8,3,0.0
20,0,0,20,1,0,3,7,0.0
21,0,0,21,4,0,7,7,0.0
22,0,0,22,3,0,7,8,0.0
23,0,0,23,2,0,8,7,0.0
24,0,0,24,3,0,7,8,0.0
25,0,0,25,4,0,8,8,0.0
26,0,0,26,1,0,8,3,0.0
27,0,0,27,4,0,3,8,0.0
28,0,0,28,2,0,8,7,0.0
29,0,0,29,4,0,7,7,0.0
30,0,0,30,2,0,7,2,0.0
31,0,0,31,3,0,2,6,0.0
32,0,0,32,1,0,6,7,0.0
33,0,0,33,2,0,7,2,0.0
34,0,0,34,3,0,2,6,0.0
35,0,0,35,4,0,6,6,0.0
36,0,0,36,3,0,6,3,0.0
37,0,0,37,1,0,3,7,0.0
38,0,0,38,2,0,7,2,0.0
39,0,0,39,3,0,2,6,0.0
40,0,0,40,2,0,6,4,0.0
41,0,0,41,2,0,4,7,0.0
42,0,0,42,2,0,7,2,0.0
43,0,0,43,3,0,2,6,0.0
44,0,0,44,2,0,6,4,0.0
45,0,0,45,4,0,4,9,0.0
46,0,0,46,3,0,9,9,0.0
47,0,0,47,4,0,9,7,0.0
48,0,0,48,2,0,7,2,0.0
49,0,0,49,3,0,2,6,0.0
50,0,0,50,2,0,6,4,0.0
51,0,0,51,4,0,4,9,0.0
52,0,0,52,2,0,9,8,0.0
53,0,0,53,1,0,8,3,0.0
54,0,0,54,3,0,3,2,0.0
55,0,0,55,3,0,2,6,0.0
56,0,0,56,2,0,6,4,0.0
57,0,0,57,3,0,4,4,0.0
58,0,0,58,2,0,4,7,0.0
59,0,0,59,2,0,7,2,0.0
60,0,0,60,3,0,2,6,0.0
61,0,0,61,2,0,6,4,0.0
62,0,0,62,1,0,4,3,0.0
63,0,0,63,4,0,3,8,0.0
64,0,0,64,3,0,8,2,0.0
65,0,0,65,3,0,2,6,0.0
66,0,0,66,2,0,6,4,0.0
67,0,0,67,4,0,4,9,0.0
68,0,0,68,4,0,9,7,0.0
69,0,0,69,2,0,7,2,0.0
70,0,0,70,3,0,2,6,0.0
71,0,0,71,2,0,6,4,0.0
72,0,0,72,4,0,4,9,0.0
73,0,0,73,3,0,9,9,0.0
74,0,0,74,2,0,9,8,0.0
75,0,0,75,2,0,8,7,0.0
76,0,0,76,2,0,7,2,0.0
77,0,0,77,3,0,2,6,0.0
78,0,0,78,1,0,6,7,0.0
79,0,0,79,4,0,7,7,0.0
80,0,0,80,3,0,7,8,0.0
81,0,0,81,4,0,8,8,0.0
82,0,0,82,3,0,8,2,0.0
83,0,0,83,1,0,2,8,0.0
84,0,0,84,1,0,8,3,0.0
85,0,0,85,1,0,3,7,0.0
86,0,0,86,3,0,7,8,0.0
87,0,0,87,2,0,8,7,0.0
88,0,0,88,1,0,7,3,0.0
89,0,0,89,4,0,3,8,0.0
90,0,0,90,4,0,8,8,0.0
91,0,0,91,3,0,8,2,0.0
92,0,0,92,4,0,2,7,0.0
93,0,0,93,2,0,7,2,0.0
94,0,0,94,3,0,2,6,0.0
95,0,0,95,2,0,6,4,0.0
96,0,0,96,2,0,4,7,0.0
97,0,0,97,2,0,7,2,0.0
98,0,0,98,3,0,2,6,0.0
99,0,0,99,2,0,6,4,0.0
100,0,0,100,4,0,4,9,0.0
101,0,0,101,1,0,9,5,0.0
102,0,0,102,1,0,5,5,0.0
103,0,0,103,2,0,5,8,0.0
104,0,0,104,3,0,8,2,0.0
105,0,0,105,3,0,2,6,0.0
106,0,0,106,2,0,6,4,0.0
107,0,0,107,4,0,4,9,0.0
108,0,0,108,1,0,9,5,0.0
109,0,0,109,2,0,5,8,0.0
110,0,0,110,1,0,8,3,0.0
111,0,0,111,4,0,3,8,0.0
112,0,0,112,3,0,8,2,0.0
113,0,0,113,3,0,2,6,0.0
114,0,0,114,2,0,6,4,0.0
115,0,0,115,3,0,4,4,0.0
116,0,0,116,4,0,4,9,0.0
117,0,0,117,1,0,9,5,0.0
118,0,0,118,1,0,5,5,0.0
119,0,0,119,4,0,5,3,0.0
120,0,0,120,2,0,3,3,0.0
121,0,0,121,1,0,3,7,0.0
122,0,0,122,2,0,7,2,0.0
123,0,0,123,3,0,2,6,0.0
124,0,0,124,2,0,6,4,0.0
125,0,0,125,4,0,4,9,0.0
126,0,0,126,1,0,9,5,0.0
127,0,0,127,4,0,5,3,0.0
128,0,0,128,4,0,3,8,0.0
129,0,0,129,4,0,8,8,0.0
130,0,0,130,2,0,8,7,0.0
131,0,0,131,2,0,7,2,0.0
132,0,0,132,3,0,2,6,0.0
133,0,0,133,2,0,6,4,0.0
134,0,0,134,4,0,4,9,0.0
135,0,0,135,1,0,9,5,0.0
136,0,0,136,3,0,5,10,0.0
137,0,0,137,3,0,10,7,0.0
138,0,0,138,2,0,7,2,0.0
139,0,0,139,3,0,2,6,0.0
140,0,0,140,2,0,6,4,0.0
141,0,0,141,4,0,4,9,0.0
142,0,0,142,1,0,9,5,0.0
143,0,0,143,3,0,5,10,0.0
144,0,0,144,4,0,10,10,0.0
145,0,0,145,2,0,10,11,0.0
146,0,0,146,1,1,11,1,0.0
147,0,1,0,2,0,7,2,0.0
148,0,1,1,3,0,2,6,0.0
149,0,1,2,2,0,6,4,0.0
150,0,1,3,4,0,4,9,0.0
151,0,1,4,1,0,9,5,0.0
152,0,1,5,3,0,5,10,0.0
153,0,1,6,2,0,10,11,0.0
154,0,1,7,2,0,11,7,0.0
155,0,1,8,2,0,7,2,0.0
156,0,1,9,3,0,2,6,0.0
157,0,1,10,2,0,6,4,0.0
158,0,1,11,4,0,4,9,0.0
159,0,1,12,1,0,9,5,0.0
160,0,1,13,3,0,5,10,0.0
161,0,1,14,2,0,10,11,0.0
162,0,1,15,1,1,11,1,0.0
163,0,2,0,1,0,9,5,0.0
164,0,2,1,3,0,5,10,0.0
165,0,2,2,2,0,10,11,0.0
166,0,2,3,1,1,11,1,0.0
167,0,3,0,3,0,5,10,0.0
168,0,3,1,2,0,10,11,0.0
169,0,3,2,1,1,11,1,0.0
170,0,4,0,3,0,3,2,0.0
171,0,4,1,2,0,2,2,0.0
172,0,4,2,3,0,2,6,0.0
173,0,4,3,2,0,6,4,0.0
174,0,4,4,4,0,4,9,0.0
175,0,4,5,1,0,9,5,0.0
176,0,4,6,3,0,5,10,0.0
177,0,4,7,2,0,10,11,0.0
178,0,4,8,1,1,11,1,0.0
179,1,0,0,1,0,10,8,0.0
180,1,0,1,1,0,8,3,0.0
181,1,0,2,1,0,3,7,0.0
182,1,0,3,1,0,7,3,0.0
183,1,0,4,1,0,3,7,0.0
184,1,0,5,2,0,7,2,0.0
185,1,0,6,1,0,2,8,0.0
186,1,0,7,1,0,8,3,0.0
187,1,0,8,1,0,3,7,0.0
188,1,0,9,2,0,7,2,0.0
189,1,0,10,2,0,2,2,0.0
190,1,0,11,3,0,2,6,0.0
191,1,0,12,1,0,6,7,0.0
192,1,0,13,1,0,7,3,0.0
193,1,0,14,2,0,3,3,0.0
194,1,0,15,3,0,3,2,0.0
195,1,0,16,2,0,2,2,0.0
196,1,0,17,3,0,2,6,0.0
197,1,0,18,2,0,6,4,0.0
198,1,0,19,1,0,4,3,0.0
199,1,0,20,1,0,3,7,0.0
200,1,0,21,2,0,7,2,0.0
201,1,0,22,3,0,2,6,0.0
202,1,0,23,2,0,6,4,0.0
203,1,0,24,2,0,4,7,0.0
204,1,0,25,2,0,7,2,0.0
205,1,0,26,3,0,2,6,0.0
206,1,0,27,2,0,6,4,0.0
207,1,0,28,3,0,4,4,0.0
208,1,0,29,4,0,4,9,0.0
209,1,0,30,1,0,9,5,0.0
210,1,0,31,1,0,5,5,0.0
211,1,0,32,2,0,5,8,0.0
212,1,0,33,2,0,8,7,0.0
213,1,0,34,3,0,7,8,0.0
214,1,0,35,4,0,8,8,0.0
215,1,0,36,3,0,8,2,0.0
216,1,0,37,3,0,2,6,0.0
217,1,0,38,2,0,6,4,0.0
218,1,0,39,4,0,4,9,0.0
219,1,0,40,2,0,9,8,0.0
220,1,0,41,3,0,8,2,0.0
221,1,0,42,3,0,2,6,0.0
222,1,0,43,4,0,6,6,0.0
223,1,0,44,3,0,6,3,0.0
224,1,0,45,4,0,3,8,0.0
225,1,0,46,3,0,8,2,0.0
226,1,0,47,3,0,2,6,0.0
227,1,0,48,4,0,6,6,0.0
228,1,0,49,3,0,6,3,0.0
229,1,0,50,4,0,3,8,0.0
230,1,0,51,3,0,8,2,0.0
231,1,0,52,3,0,2,6,0.0
232,1,0,53,2,0,6,4,0.0
233,1,0,54,4,0,4,9,0.0
234,1,0,55,4,0,9,7,0.0
235,1,0,56,3,0,7,8,0.0
236,1,0,57,3,0,8,2,0.0
237,1,0,58,3,0,2,6,0.0
238,1,0,59,2,0,6,4,0.0
239,1,0,60,4,0,4,9,0.0
240,1,0,61,3,0,9,9,0.0
241,1,0,62,2,0,9,8,0.0
242,1,0,63,3,0,8,2,0.0
243,1,0,64,3,0,2,6,0.0
244,1,0,65,2,0,6,4,0.0
245,1,0,66,4,0,4,9,0.0
246,1,0,67,1,0,9,5,0.0
247,1,0,68,4,0,5,3,0.0
248,1,0,69,4,0,3,8,0.0
249,1,0,70,3,0,8,2,0.0
250,1,0,71,3,0,2,6,0.0
251,1,0,72,2,0,6,4,0.0
252,1,0,73,4,0,4,9,0.0
253,1,0,74,1,0,9,5,0.0
254,1,0,75,3,0,5,10,0.0
255,1,0,76,2,0,10,11,0.0
256,1,0,77,1,1,11,1,0.0
257,1,1,0,3,0,7,8,0.0
258,1,1,1,3,0,8,2,0.0
259,1,1,2,3,0,2,6,0.0
260,1,1,3,2,0,6,4,0.0
261,1,1,4,4,0,4,9,0.0
262,1,1,5,1,0,9,5,0.0
263,1,1,6,3,0,5,10,0.0
264,1,1,7,2,0,10,11,0.0
265,1,1,8,1,1,11,1,0.0
266,1,2,0,1,0,9,5,0.0
267,1,2,1,3,0,5,10,0.0
268,1,2,2,2,0,10,11,0.0
269,1,2,3,1,1,11,1,0.0
270,1,3,0,3,0,5,10,0.0
271,1,3,1,1,0,10,8,0.0
272,1,3,2,3,0,8,2,0.0
273,1,3,3,3,0,2,6,0.0
274,1,3,4,2,0,6,4,0.0
275,1,3,5,4,0,4,9,0.0
276,1,3,6,1,0,9,5,0.0
277,1,3,7,3,0,5,10,0.0
278,1,3,8,2,0,10,11,0.0
279,1,3,9,1,1,11,1,0.0
280,1,4,0,2,0,3,3,0.0
281,1,4,1,3,0,3,2,0.0
282,1,4,2,3,0,2,6,0.0
283,1,4,3,4,0,6,6,0.0
284,1,4,4,3,0,6,3,0.0
285,1,4,5,3,0,3,2,0.0
286,1,4,6,3,0,2,6,0.0
287,1,4,7,2,0,6,4,0.0
288,1,4,8,4,0,4,9,0.0
289,1,4,9,1,0,9,5,0.0
290,1,4,10,3,0,5,10,0.0
291,1,4,11,2,0,10,11,0.0
292,1,4,12,1,1,11,1,0.0
293,2,0,0,1,0,10,8,0.0
294,2,0,1,1,0,8,3,0.0
295,2,0,2,1,0,3,7,0.0
296,2,0,3,1,0,7,3,0.0
297,2,0,4,2,0,3,3,0.0
298,2,0,5,3,0,3,2,0.0
299,2,0,6,1,0,2,8,0.0
300,2,0,7,1,0,8,3,0.0
301,2,0,8,3,0,3,2,0.0
302,2,0,9,2,0,2,2,0.0
303,2,0,10,3,0,2,6,0.0
304,2,0,11,1,0,6,7,0.0
305,2,0,12,1,0,7,3,0.0
306,2,0,13,3,0,3,2,0.0
307,2,0,14,3,0,2,6,0.0
308,2,0,15,2,0,6,4,0.0
309,2,0,16,1,0,4,3,0.0
310,2,0,17,3,0,3,2,0.0
311,2,0,18,3,0,2,6,0.0
312,2,0,19,2,0,6,4,0.0
313,2,0,20,2,0,4,7,0.0
314,2,0,21,1,0,7,3,0.0
315,2,0,22,3,0,3,2,0.0
316,2,0,23,3,0,2,6,0.0
317,2,0,24,2,0,6,4,0.0
318,2,0,25,3,0,4,4,0.0
319,2,0,26,4,0,4,9,0.0
320,2,0,27,1,0,9,5,0.0
321,2,0,28,1,0,5,5,0.0
322,2,0,29,2,0,5,8,0.0
323,2,0,30,1,0,8,3,0.0
324,2,0,31,3,0,3,2,0.0
325,2,0,32,3,0,2,6,0.0
326,2,0,33,2,0,6,4,0.0
327,2,0,34,3,0,4,4,0.0
328,2,0,35,4,0,4,9,0.0
329,2,0,36,1,0,9,5,0.0
330,2,0,37,1,0,5,5,0.0
331,2,0,38,3,0,5,10,0.0
332,2,0,39,1,0,10,8,0.0
333,2,0,40,1,0,8,3,0.0
334,2,0,41,3,0,3,2,0.0
335,2,0,42,3,0,2,6,0.0
336,2,0,43,2,0,6,4,0.0
337,2,0,44,4,0,4,9,0.0
338,2,0,45,1,0,9,5,0.0
339,2,0,46,2,0,5,8,0.0
340,2,0,47,1,0,8,3,0.0
341,2,0,48,3,0,3,2,0.0
342,2,0,49,3,0,2,6,0.0
343,2,0,50,2,0,6,4,0.0
344,2,0,51,4,0,4,9,0.0
345,2,0,52,1,0,9,5,0.0
346,2,0,53,4,0,5,3,0.0
347,2,0,54,3,0,3,2,0.0
348,2,0,55,3,0,2,6,0.0
349,2,0,56,2,0,6,4,0.0
350,2,0,57,4,0,4,9,0.0
351,2,0,58,2,0,9,8,0.0
352,2,0,59,1,0,8,3,0.0
353,2,0,60,3,0,3,2,0.0
354,2,0,61,3,0,2,6,0.0
355,2,0,62,2,0,6,4,0.0
356,2,0,63,4,0,4,9,0.0
357,2,0,64,3,0,9,9,0.0
358,2,0,65,4,0,9,7,0.0
359,2,0,66,1,0,7,3,0.0
360,2,0,67,3,0,3,2,0.0
361,2,0,68,3,0,2,6,0.0
362,2,0,69,3,0,6,3,0.0
363,2,0,70,3,0,3,2,0.0
364,2,0,71,3,0,2,6,0.0
365,2,0,72,4,0,6,6,0.0
366,2,0,73,3,0,6,3,0.0
367,2,0,74,3,0,3,2,0.0
368,2,0,75,4,0,2,7,0.0
369,2,0,76,1,0,7,3,0.0
370,2,0,77,4,0,3,8,0.0
371,2,0,78,1,0,8,3,0.0
372,2,0,79,4,0,3,8,0.0
373,2,0,80,2,0,8,7,0.0
374,2,0,81,1,0,7,3,0.0
375,2,0,82,4,0,3,8,0.0
376,2,0,83,3,0,8,2,0.0
377,2,0,84,4,0,2,7,0.0
378,2,0,85,1,0,7,3,0.0
379,2,0,86,4,0,3,8,0.0
380,2,0,87,4,0,8,8,0.0
381,2,0,88,3,0,8,2,0.0
382,2,0,89,4,0,2,7,0.0
383,2,0,90,2,0,7,2,0.0
384,2,0,91,4,0,2,7,0.0
385,2,0,92,3,0,7,8,0.0
386,2,0,93,4,0,8,8,0.0
387,2,0,94,3,0,8,2,0.0
388,2,0,95,4,0,2,7,0.0
389,2,0,96,4,0,7,7,0.0
390,2,0,97,1,0,7,3,0.0
391,2,0,98,4,0,3,8,0.0
392,2,0,99,2,0,8,7,0.0
393,2,0,100,4,0,7,7,0.0
394,2,0,101,1,0,7,3,0.0
395,2,0,102,4,0,3,8,0.0
396,2,0,103,2,0,8,7,0.0
397,2,0,104,1,0,7,3,0.0
398,2,0,105,4,0,3,8,0.0
399,2,0,106,1,0,8,3,0.0
400,2,0,107,4,0,3,8,0.0
401,2,0,108,3,0,8,2,0.0
402,2,0,109,4,0,2,7,0.0
403,2,0,110,1,0,7,3,0.0
404,2,0,111,3,0,3,2,0.0
405,2,0,112,3,0,2,6,0.0
406,2,0,113,2,0,6,4,0.0
407,2,0,114,4,0,4,9,0.0
408,2,0,115,4,0,9,7,0.0
409,2,0,116,1,0,7,3,0.0
410,2,0,117,3,0,3,2,0.0
411,2,0,118,3,0,2,6,0.0
412,2,0,119,2,0,6,4,0.0
413,2,0,120,4,0,4,9,0.0
414,2,0,121,3,0,9,9,0.0
415,2,0,122,2,0,9,8,0.0
416,2,0,123,1,0,8,3,0.0
417,2,0,124,3,0,3,2,0.0
418,2,0,125,3,0,2,6,0.0
419,2,0,126,2,0,6,4,0.0
420,2,0,127,4,0,4,9,0.0
421,2,0,128,1,0,9,5,0.0
422,2,0,129,1,0,5,5,0.0
423,2,0,130,3,0,5,10,0.0
424,2,0,131,2,0,10,11,0.0
425,2,0,132,1,1,11,1,0.0
426,2,1,0,4,0,7,7,0.0
427,2,1,1,3,0,7,8,0.0
428,2,1,2,1,0,8,3,0.0
429,2,1,3,3,0,3,2,0.0
430,2,1,4,3,0,2,6,0.0
431,2,1,5,2,0,6,4,0.0
432,2,1,6,4,0,4,9,0.0
433,2,1,7,1,0,9,5,0.0
434,2,1,8,2,0,5,8,0.0
435,2,1,9,1,0,8,3,0.0
436,2,1,10,3,0,3,2,0.0
437,2,1,11,3,0,2,6,0.0
438,2,1,12,2,0,6,4,0.0
439,2,1,13,4,0,4,9,0.0
440,2,1,14,1,0,9,5,0.0
441,2,1,15,3,0,5,10,0.0
442,2,1,16,2,0,10,11,0.0
443,2,1,17,1,1,11,1,0.0
444,2,2,0,1,0,9,5,0.0
445,2,2,1,3,0,5,10,0.0
446,2,2,2,2,0,10,11,0.0
447,2,2,3,1,1,11,1,0.0
448,2,3,0,3,0,5,10,0.0
449,2,3,1,2,0,10,11,0.0
450,2,3,2,1,1,11,1,0.0
451,2,4,0,3,0,3,2,0.0
452,2,4,1,3,0,2,6,0.0
453,2,4,2,2,0,6,4,0.0
454,2,4,3,4,0,4,9,0.0
455,2,4,4,1,0,9,5,0.0
456,2,4,5,3,0,5,10,0.0
457,2,4,6,2,0,10,11,0.0
458,2,4,7,1,1,11,1,0.0
459,3,0,0,1,0,10,8,0.0
460,3,0,1,1,0,8,3,0.0
461,3,0,2,1,0,3,7,0.0
462,3,0,3,1,0,7,3,0.0
463,3,0,4,2,0,3,3,0.0
464,3,0,5,1,0,3,7,0.0
465,3,0,6,2,0,7,2,0.0
466,3,0,7,1,0,2,8,0.0
467,3,0,8,1,0,8,3,0.0
468,3,0,9,2,0,3,3,0.0
469,3,0,10,1,0,3,7,0.0
470,3,0,11,2,0,7,2,0.0
471,3,0,12,2,0,2,2,0.0
472,3,0,13,3,0,2,6,0.0
473,3,0,14,1,0,6,7,0.0
474,3,0,15,2,0,7,2,0.0
475,3,0,16,4,0,2,7,0.0
476,3,0,17,3,0,7,8,0.0
477,3,0,18,4,0,8,8,0.0
478,3,0,19,3,0,8,2,0.0
479,3,0,20,2,0,2,2,0.0
480,3,0,21,1,0,2,8,0.0
481,3,0,22,4,0,8,8,0.0
482,3,0,23,2,0,8,7,0.0
483,3,0,24,3,0,7,8,0.0
484,3,0,25,1,0,8,3,0.0
485,3,0,26,3,0,3,2,0.0
486,3,0,27,1,0,2,8,0.0
487,3,0,28,2,0,8,7,0.0
488,3,0,29,3,0,7,8,0.0
489,3,0,30,1,0,8,3,0.0
490,3,0,31,4,0,3,8,0.0
491,3,0,32,4,0,8,8,0.0
492,3,0,33,3,0,8,2,0.0
493,3,0,34,3,0,2,6,0.0
494,3,0,35,2,0,6,4,0.0
495,3,0,36,1,0,4,3,0.0
496,3,0,37,1,0,3,7,0.0
497,3,0,38,3,0,7,8,0.0
498,3,0,39,3,0,8,2,0.0
499,3,0,40,2,0,2,2,0.0
500,3,0,41,3,0,2,6,0.0
501,3,0,42,2,0,6,4,0.0
502,3,0,43,4,0,4,9,0.0
503,3,0,44,1,0,9,5,0.0
504,3,0,45,4,0,5,3,0.0
505,3,0,46,3,0,3,2,0.0
506,3,0,47,1,0,2,8,0.0
507,3,0,48,2,0,8,7,0.0
508,3,0,49,3,0,7,8,0.0
509,3,0,50,2,0,8,7,0.0
510,3,0,51,1,0,7,3,0.0
511,3,0,52,3,0,3,2,0.0
512,3,0,53,4,0,2,7,0.0
513,3,0,54,2,0,7,2,0.0
514,3,0,55,2,0,2,2,0.0
515,3,0,56,3,0,2,6,0.0
516,3,0,57,2,0,6,4,0.0
517,3,0,58,4,0,4,9,0.0
518,3,0,59,1,0,9,5,0.0
519,3,0,60,3,0,5,10,0.0
520,3,0,61,1,0,10,8,0.0
521,3,0,62,2,0,8,7,0.0
522,3,0,63,3,0,7,8,0.0
523,3,0,64,2,0,8,7,0.0
524,3,0,65,2,0,7,2,0.0
525,3,0,66,2,0,2,2,0.0
526,3,0,67,3,0,2,6,0.0
527,3,0,68,2,0,6,4,0.0
528,3,0,69,4,0,4,9,0.0
529,3,0,70,1,0,9,5,0.0
530,3,0,71,3,0,5,10,0.0
531,3,0,72,4,0,10,10,0.0
532,3,0,73,3,0,10,7,0.0
533,3,0,74,3,0,7,8,0.0
534,3,0,75,2,0,8,7,0.0
535,3,0,76,2,0,7,2,0.0
536,3,0,77,2,0,2,2,0.0
537,3,0,78,3,0,2,6,0.0
538,3,0,79,2,0,6,4,0.0
539,3,0,80,4,0,4,9,0.0
540,3,0,81,1,0,9,5,0.0
541,3,0,82,3,0,5,10,0.0
542,3,0,83,2,0,10,11,0.0
543,3,0,84,1,1,11,1,0.0
544,3,1,0,3,0,7,8,0.0
545,3,1,1,2,0,8,7,0.0
546,3,1,2,2,0,7,2,0.0
547,3,1,3,3,0,2,6,0.0
548,3,1,4,2,0,6,4,0.0
549,3,1,5,4,0,4,9,0.0
550,3,1,6,1,0,9,5,0.0
551,3,1,7,3,0,5,10,0.0
552,3,1,8,2,0,10,11,0.0
553,3,1,9,1,1,11,1,0.0
554,3,2,0,1,0,9,5,0.0
555,3,2,1,3,0,5,10,0.0
556,3,2,2,2,0,10,11,0.0
557,3,2,3,1,1,11,1,0.0
558,3,3,0,3,0,5,10,0.0
559,3,3,1,2,0,10,11,0.0
560,3,3,2,1,1,11,1,0.0
561,3,4,0,3,0,3,2,0.0
562,3,4,1,3,0,2,6,0.0
563,3,4,2,2,0,6,4,0.0
564,3,4,3,4,0,4,9,0.0
565,3,4,4,1,0,9,5,0.0
566,3,4,5,3,0,5,10,0.0
567,3,4,6,2,0,10,11,0.0
568,3,4,7,1,1,11,1,0.0
569,4,0,0,1,0,10,8,0.0
570,4,0,1,1,0,8,3,0.0
571,4,0,2,1,0,3,7,0.0
572,4,0,3,1,0,7,3,0.0
573,4,0,4,2,0,3,3,0.0
574,4,0,5,3,0,3,2,0.0
575,4,0,6,1,0,2,8,0.0
576,4,0,7,2,0,8,7,0.0
577,4,0,8,2,0,7,2,0.0
578,4,0,9,2,0,2,2,0.0
579,4,0,10,3,0,2,6,0.0
580,4,0,11,4,0,6,6,0.0
581,4,0,12,3,0,6,3,0.0
582,4,0,13,3,0,3,2,0.0
583,4,0,14,3,0,2,6,0.0
584,4,0,15,2,0,6,4,0.0
585,4,0,16,1,0,4,3,0.0
586,4,0,17,4,0,3,8,0.0
587,4,0,18,3,0,8,2,0.0
588,4,0,19,3,0,2,6,0.0
589,4,0,20,2,0,6,4,0.0
590,4,0,21,2,0,4,7,0.0
591,4,0,22,4,0,7,7,0.0
592,4,0,23,3,0,7,8,0.0
593,4,0,24,4,0,8,8,0.0
594,4,0,25,3,0,8,2,0.0
595,4,0,26,3,0,2,6,0.0
596,4,0,27,2,0,6,4,0.0
597,4,0,28,4,0,4,9,0.0
598,4,0,29,1,0,9,5,0.0
599,4,0,30,3,0,5,10,0.0
600,4,0,31,2,0,10,11,0.0
601,4,0,32,1,1,11,1,0.0
602,4,1,0,3,0,7,8,0.0
603,4,1,1,3,0,8,2,0.0
604,4,1,2,3,0,2,6,0.0
605,4,1,3,2,0,6,4,0.0
606,4,1,4,4,0,4,9,0.0
607,4,1,5,1,0,9,5,0.0
608,4,1,6,3,0,5,10,0.0
609,4,1,7,1,0,10,8,0.0
610,4,1,8,3,0,8,2,0.0
611,4,1,9,3,0,2,6,0.0
612,4,1,10,2,0,6,4,0.0
613,4,1,11,4,0,4,9,0.0
614,4,1,12,1,0,9,5,0.0
615,4,1,13,3,0,5,10,0.0
616,4,1,14,2,0,10,11,0.0
617,4,1,15,1,1,11,1,0.0
618,4,2,0,1,0,9,5,0.0
619,4,2,1,2,0,5,8,0.0
620,4,2,2,3,0,8,2,0.0
621,4,2,3,3,0,2,6,0.0
622,4,2,4,2,0,6,4,0.0
623,4,2,5,4,0,4,9,0.0
624,4,2,6,1,0,9,5,0.0
625,4,2,7,3,0,5,10,0.0
626,4,2,8,2,0,10,11,0.0
627,4,2,9,1,1,11,1,0.0
628,4,3,0,3,0,5,10,0.0
629,4,3,1,2,0,10,11,0.0
630,4,3,2,2,0,11,7,0.0
631,4,3,3,4,0,7,7,0.0
632,4,3,4,3,0,7,8,0.0
633,4,3,5,3,0,8,2,0.0
634,4,3,6,3,0,2,6,0.0
